label,text
spam,Win a free iPhone now click here
spam,Limited time offer claim your prize
spam,Congratulations you are a lucky winner
spam,Get rich quick scheme click now
spam,Free entry in a contest win money
spam,Exclusive deal just for you act now
spam,You have been selected for a reward
spam,Claim your free vacation now
ham,Hi Rabab are we meeting tomorrow
ham,Please submit your assignment today
ham,Can we reschedule our meeting
ham,Don't forget to bring your notes
ham,Lunch at 1 pm works for me
ham,Project deadline is next week
ham,Let's discuss the report tomorrow
ham,Call me when you are free